time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm,run_number,time_delta
10.004,,5438000.0,1129000.0,1829000.0,1318000.0,2492000.0,5960000.0,30000.0,14000.0,11000.0,268000.0,74000.0,65000.0,2425000.0,4878000.0,7303000.0,25000000.0,111.2,107.6,88.16,104.225,110.075,108.3866,101.4116,110.1866,107.2616,1.0,0 days 00:00:10.004000
10.204,,5438000.0,1097000.0,1354000.0,2504000.0,1926000.0,5960000.0,20000.0,14000.0,11000.0,268000.0,81000.0,63000.0,2407000.0,4904000.0,7311000.0,25000000.0,111.2,107.6,88.16,104.45,110.1866,108.5,101.6366,110.3,107.4866,1.0,0 days 00:00:10.204000
10.404,,5438000.0,1068000.0,1663000.0,1713000.0,105000.0,5960000.0,20000.0,11000.0,11000.0,312000.0,68000.0,63000.0,2450000.0,4351000.0,6801000.0,25000000.0,111.2,107.6,88.16,104.45,110.1866,108.5,101.6366,110.3,107.4866,1.0,0 days 00:00:10.404000
10.603,,5399000.0,1189000.0,1473000.0,860000.0,105000.0,6105000.0,20000.0,11000.0,11000.0,312000.0,74000.0,63000.0,2407000.0,4038000.0,6445000.0,25000000.0,111.2,107.6,88.16,104.45,110.1866,108.5,101.6366,110.3,107.4866,1.0,0 days 00:00:10.603000
10.804,,5399000.0,1097000.0,1458000.0,1063000.0,105000.0,6105000.0,20000.0,11000.0,11000.0,312000.0,72000.0,63000.0,2429000.0,4006000.0,6435000.0,25000000.0,111.2,107.6,88.16,104.45,110.1866,108.5,101.6366,110.3,107.4866,1.0,0 days 00:00:10.804000
11.004,,5399000.0,1036000.0,1530000.0,1254000.0,105000.0,6105000.0,20000.0,11000.0,11000.0,258000.0,72000.0,65000.0,2402000.0,3863000.0,6265000.0,25000000.0,111.2,107.6,88.16,104.45,110.1866,108.5,101.6366,110.3,107.4866,1.0,0 days 00:00:11.004000
11.204,,5389000.0,955000.0,1473000.0,1284000.0,105000.0,6127000.0,20000.0,30000.0,11000.0,258000.0,72000.0,65000.0,2413000.0,4388000.0,6801000.0,25000000.0,111.2,107.6,88.16,104.5616,110.3,108.6116,101.75,110.4116,107.6,1.0,0 days 00:00:11.204000
11.404,,5389000.0,955000.0,1401000.0,983000.0,105000.0,6127000.0,20000.0,30000.0,11000.0,258000.0,72000.0,65000.0,2360000.0,3905000.0,6265000.0,25000000.0,111.2,107.6,88.16,104.5616,110.3,108.6116,101.75,110.4116,107.6,1.0,0 days 00:00:11.404000
11.604,,5389000.0,914000.0,2209000.0,1056000.0,105000.0,6127000.0,20000.0,30000.0,11000.0,265000.0,72000.0,65000.0,2430000.0,3596000.0,6026000.0,25000000.0,111.2,107.6,88.16,104.5616,110.3,108.6116,101.75,110.4116,107.6,1.0,0 days 00:00:11.604000
11.804,,5435000.0,853000.0,1948000.0,1134000.0,104000.0,6141000.0,20000.0,30000.0,11000.0,265000.0,68000.0,63000.0,2357000.0,3765000.0,6122000.0,25000000.0,111.2,107.6,88.16,104.5616,110.3,108.6116,101.75,110.4116,107.6,1.0,0 days 00:00:11.804000
12.004,,5435000.0,914000.0,1330000.0,1434000.0,2885000.0,6141000.0,20000.0,30000.0,11000.0,265000.0,72000.0,65000.0,2319000.0,3414000.0,5733000.0,25000000.0,111.2,107.6,88.16,104.5616,110.3,108.6116,101.75,110.4116,107.6,1.0,0 days 00:00:12.004000
12.204,,5264000.0,935000.0,1378000.0,826000.0,4428000.0,6141000.0,20000.0,30000.0,11000.0,270000.0,74000.0,65000.0,2368000.0,3570000.0,5938000.0,25000000.0,111.2,107.6,88.16,104.675,110.525,108.725,101.8616,110.6366,107.7116,1.0,0 days 00:00:12.204000
12.403,,5264000.0,1169000.0,1330000.0,733000.0,105000.0,5924000.0,20000.0,30000.0,11000.0,270000.0,70000.0,63000.0,2309000.0,4327000.0,6636000.0,25000000.0,111.2,107.6,88.16,104.675,110.525,108.725,101.8616,110.6366,107.7116,1.0,0 days 00:00:12.403000
12.603,,5264000.0,914000.0,1306000.0,894000.0,190000.0,5924000.0,20000.0,14000.0,11000.0,270000.0,74000.0,65000.0,2440000.0,3677000.0,6117000.0,25000000.0,111.2,107.6,88.16,104.675,110.525,108.725,101.8616,110.6366,107.7116,1.0,0 days 00:00:12.603000
12.804,,5051000.0,914000.0,1306000.0,691000.0,949000.0,5729000.0,20000.0,11000.0,11000.0,291000.0,81000.0,65000.0,2356000.0,3469000.0,5825000.0,25000000.0,111.2,107.6,88.16,104.675,110.525,108.725,101.8616,110.6366,107.7116,1.0,0 days 00:00:12.804000
13.004,,5051000.0,928000.0,1235000.0,696000.0,105000.0,5729000.0,30000.0,14000.0,4000.0,291000.0,74000.0,63000.0,2486000.0,3578000.0,6064000.0,25000000.0,111.2,107.6,88.16,104.675,110.525,108.725,101.8616,110.6366,107.7116,1.0,0 days 00:00:13.004000
